Id,ShoeId,CareDate,SealDate,Detail,CareItemId
1,11,2014/10/1,,,4
2,2,2015/2/14,,,1
3,3,2015/5/23,,,1
4,10,2015/5/23,,,4
5,1,2015/6/14,,,1
6,8,2015/7/18,,,5
7,1,2015/7/20,,,12
8,3,2015/9/23,2015/9/23,,13
9,8,2015/9/23,,,5
10,9,2015/10/24,,,5
11,9,2015/12/9,,,5
12,5,2016/1/7,,,1
13,7,2016/1/7,,,5
14,4,2016/2/5,,,1
15,6,2016/2/5,,,1
16,14,2016/2/28,,,9
17,14,2016/2/28,,,17
18,15,2016/2/28,,,17
19,12,2016/3/21,,,12
20,13,2016/4/22,,,5
21,4,2016/4/23,2016/4/23,,1
22,7,2016/4/23,2016/4/23,,5
23,18,2016/5/15,,,5
24,19,2016/5/15,,,5
25,6,2016/5/29,,,1
26,12,2016/5/29,,,12
27,5,2016/8/7,,,1
28,18,2016/8/7,,,5
29,19,2016/8/7,,,5
30,7,2016/9/1,,,5
31,19,2016/9/9,,,13
32,19,2016/9/10,,,3
33,19,2016/9/11,,,5
34,8,2016/9/19,2016/9/19,,3
35,8,2016/9/19,2016/9/19,,5
36,7,2016/9/19,,,3
37,7,2016/9/19,,,5
38,3,2016/9/19,,,11
39,2,2016/10/15,,,1
40,1,2016/10/23,,,1
41,18,2017/1/7,,,5
42,19,2017/1/7,,,5
43,6,2017/1/8,,,1
44,9,2017/1/29,,,5
45,5,2017/2/2,,,1
46,20,2017/2/2,,,1
47,18,2017/2/13,,,5
48,18,2017/2/13,,,2
49,19,2017/2/13,,,5
50,19,2017/2/13,,,9
51,19,2017/2/21,,,13
52,19,2017/2/26,,,5
53,19,2017/2/26,,,9
54,21,2017/3/5,,,3
55,21,2017/3/5,,,5
56,18,2017/3/31,,オールソール（Union Works新宿）,99
57,11,2017/5/5,,,11
58,7,2017/5/18,,,13
59,7,2017/5/20,,,3
60,7,2017/5/20,,,5
61,8,2017/5/20,,,3
62,8,2017/5/20,,,5
63,21,2017/6/6,,,5
64,18,2017/6/6,,,5
65,22,2017/6/11,,,10
66,12,2017/7/4,,,11
67,18,2017/7/16,,,3
68,18,2017/7/16,,,5
69,19,2017/7/16,,,3
70,19,2017/7/16,,,5
71,9,2017/7/16,,,3
72,9,2017/7/16,,,5
73,13,2017/7/16,,,3
74,13,2017/7/16,,,5
75,24,2017/8/11,,,3
76,24,2017/8/11,,,5
77,19,2017/8/11,,,6
78,18,2017/8/11,,,7
79,9,2017/9/16,,,5
80,19,2017/9/16,,,5
81,18,2017/9/16,,,7
82,12,2017/10/2,,,1
83,18,2017/10/7,,,13
84,18,2017/10/8,,,3
85,18,2017/10/8,,,7
86,8,2017/10/9,,,13
87,8,2017/10/14,,,3
88,9,2017/10/22,,,3
89,9,2017/10/22,,,4
90,21,2017/10/22,,,1
91,5,2017/11/3,,,1
92,6,2017/11/3,,,1
93,18,2017/12/9,,,7
94,19,2017/12/9,,,7
95,28,2017/12/17,,,3
96,28,2017/12/20,,,3
97,28,2017/12/20,,,5
98,26,2017/12/20,,,3
99,26,2017/12/20,,,5
100,27,2017/12/20,,,1
101,9,2018/2/10,,,5
102,18,2018/2/10,,,7
103,19,2018/2/10,,,7
104,21,2018/2/10,,,5
105,5,2018/2/17,,,1
106,6,2018/2/17,,,1
